rise, mov_av,window=100, step=1, TP: 64, FP: 10540, TN: NaN, FN: 15
rise, mov_av,window=30, step=1, TP: 26, FP: 7937, TN: NaN, FN: 53
rise, mov_av,window=10, step=2, TP: 19, FP: 7586, TN: NaN, FN: 60
rise, mov_av,window=70, step=3, TP: 55, FP: 3890, TN: NaN, FN: 24
rise, mov_av,window=100, step=2, TP: 67, FP: 5605, TN: NaN, FN: 12
rise, mov_av,window=50, step=1, TP: 45, FP: 11578, TN: NaN, FN: 34
rise, mov_av,window=30, step=2, TP: 62, FP: 12200, TN: NaN, FN: 17
rise, mov_av,window=10, step=3, TP: 47, FP: 10487, TN: NaN, FN: 32
rise, mov_av,window=100, step=3, TP: 46, FP: 2413, TN: NaN, FN: 33
rise, mov_av,window=70, step=1, TP: 53, FP: 11009, TN: NaN, FN: 26
rise, mov_av,window=50, step=2, TP: 71, FP: 10157, TN: NaN, FN: 8
rise, mov_av,window=30, step=3, TP: 66, FP: 9037, TN: NaN, FN: 13
rise, mov_av,window=10, step=4, TP: 65, FP: 10179, TN: NaN, FN: 14
rise, mov_av,window=10, step=5, TP: 59, FP: 8427, TN: NaN, FN: 20
rise, mov_av,window=30, step=4, TP: 62, FP: 5768, TN: NaN, FN: 17
rise, mov_av,window=70, step=6, TP: 22, FP: 344, TN: NaN, FN: 57
rise, mov_av,window=100, step=5, TP: 30, FP: 420, TN: NaN, FN: 49
rise, mov_av,window=30, step=5, TP: 50, FP: 3396, TN: NaN, FN: 29
rise, mov_av,window=50, step=4, TP: 54, FP: 3079, TN: NaN, FN: 25
rise, mov_av,window=10, step=6, TP: 52, FP: 6373, TN: NaN, FN: 27
rise, mov_av,window=100, step=6, TP: 14, FP: 151, TN: NaN, FN: 65
rise, mov_av,window=50, step=5, TP: 41, FP: 1507, TN: NaN, FN: 38
rise, mov_av,window=70, step=4, TP: 44, FP: 1744, TN: NaN, FN: 35
rise, mov_av,window=30, step=6, TP: 35, FP: 1824, TN: NaN, FN: 44
rise, mov_av,window=10, step=7, TP: 39, FP: 4236, TN: NaN, FN: 40
rise, mov_av,window=70, step=5, TP: 37, FP: 774, TN: NaN, FN: 42
rise, mov_av,window=50, step=6, TP: 25, FP: 716, TN: NaN, FN: 54
rise, mov_av,window=100, step=4, TP: 41, FP: 996, TN: NaN, FN: 38
rise, mov_av,window=30, step=7, TP: 28, FP: 918, TN: NaN, FN: 51
rise, mov_av,window=50, step=7, TP: 19, FP: 293, TN: NaN, FN: 60
rise, mov_av,window=10, step=9, TP: 21, FP: 1070, TN: NaN, FN: 57
rise, mov_av,window=30, step=8, TP: 14, FP: 394, TN: NaN, FN: 65
rise, mov_av,window=100, step=9, TP: 1, FP: 4, TN: NaN, FN: 78
rise, mov_av,window=30, step=9, TP: 7, FP: 146, TN: NaN, FN: 72
rise, mov_av,window=70, step=7, TP: 12, FP: 151, TN: NaN, FN: 66
rise, mov_av,window=50, step=8, TP: 7, FP: 95, TN: NaN, FN: 71
rise, mov_av,window=10, step=10, TP: 13, FP: 358, TN: NaN, FN: 65
rise, mov_av,window=50, step=9, TP: 4, FP: 24, TN: NaN, FN: 74
rise, mov_av,window=70, step=8, TP: 7, FP: 42, TN: NaN, FN: 71
rise, mov_av,window=100, step=7, TP: 8, FP: 52, TN: NaN, FN: 71
rise, mov_av,window=30, step=10, TP: 5, FP: 31, TN: NaN, FN: 73
rise, mov_av,window=70, step=9, TP: 4, FP: 10, TN: NaN, FN: 74
rise, mov_av,window=10, step=8, TP: 31, FP: 2407, TN: NaN, FN: 48
rise, mov_av,window=50, step=10, TP: 0, FP: 5, TN: NaN, FN: 78
rise, mov_av,window=100, step=8, TP: 5, FP: 14, TN: NaN, FN: 74
rise, mov_av,window=70, step=10, TP: 0, FP: 2, TN: NaN, FN: 78
rise, mov_av,window=100, step=10, TP: 0, FP: 0, TN: NaN, FN: 78
trendy, dur=1, tsld=10, TP: 45, FP: 3068, TN: NaN, FN: 34
trendy, dur=2, tsld=30, TP: 11, FP: 219, TN: NaN, FN: 67
trendy, dur=5, tsld=20, TP: 26, FP: 2151, TN: NaN, FN: 52
trendy, dur=8, tsld=10, TP: 28, FP: 8213, TN: NaN, FN: 51
trendy, dur=2, tsld=10, TP: 52, FP: 4811, TN: NaN, FN: 27
trendy, dur=3, tsld=30, TP: 13, FP: 359, TN: NaN, FN: 65
trendy, dur=6, tsld=20, TP: 25, FP: 2614, TN: NaN, FN: 53
trendy, dur=9, tsld=10, TP: 24, FP: 8211, TN: NaN, FN: 55
trendy, dur=3, tsld=10, TP: 44, FP: 6105, TN: NaN, FN: 35
trendy, dur=4, tsld=30, TP: 14, FP: 525, TN: NaN, FN: 64
trendy, dur=7, tsld=20, TP: 28, FP: 3023, TN: NaN, FN: 51
trendy, dur=4, tsld=10, TP: 37, FP: 7023, TN: NaN, FN: 42
trendy, dur=5, tsld=30, TP: 17, FP: 720, TN: NaN, FN: 61
trendy, dur=10, tsld=10, TP: 24, FP: 8164, TN: NaN, FN: 55
trendy, dur=8, tsld=20, TP: 30, FP: 3396, TN: NaN, FN: 49
trendy, dur=5, tsld=10, TP: 36, FP: 7597, TN: NaN, FN: 43
trendy, dur=1, tsld=20, TP: 13, FP: 323, TN: NaN, FN: 65
trendy, dur=6, tsld=30, TP: 18, FP: 933, TN: NaN, FN: 60
trendy, dur=2, tsld=20, TP: 16, FP: 675, TN: NaN, FN: 62
trendy, dur=6, tsld=10, TP: 31, FP: 7958, TN: NaN, FN: 48
